[Strings]
nth  paddr      vaddr      len size section type    string
145  0x00091a10 0x00491a10 92  93   .rodata ascii   !newp || chunk_is_mmapped (mem2chunk (newp)) || ar_ptr == arena_for_chunk (mem2chunk (newp))
146  0x00091a70 0x00491a70 85  86   .rodata ascii   !mem || chunk_is_mmapped (mem2chunk (mem)) || av == arena_for_chunk (mem2chunk (mem))
147  0x00091ac8 0x00491ac8 52  53   .rodata ascii   (char *) chunk2mem (p) + 4 * SIZE_SZ <= paligned_mem
148  0x00091b00 0x00491b00 32  33   .rodata ascii   (char *) p + size > paligned_mem
149  0x00091b28 0x00491b28 40  41   .rodata ascii   malloc_check_get_size: memory corruption
150  0x00091b58 0x00491b58 13  14   .rodata ascii   __libc_calloc
151  0x00091b68 0x00491b68 13  14   .rodata ascii   _mid_memalign
152  0x00091b78 0x00491b78 14  15   .rodata ascii   __libc_realloc
153  0x00091b88 0x00491b88 12  13   .rodata ascii   detach_arena
154  0x00091b98 0x00491b98 13  14   .rodata ascii   get_free_list
155  0x00091ba8 0x00491ba8 13  14   .rodata ascii   __libc_malloc
156  0x00091bb8 0x00491bb8 12  13   .rodata ascii   _int_realloc
157  0x00091bc8 0x00491bc8 12  13   .rodata ascii   mremap_chunk
158  0x00091bd8 0x00491bd8 12  13   .rodata ascii   munmap_chunk
159  0x00091be8 0x00491be8 9   10   .rodata ascii   heap_trim
160  0x00091bf8 0x00491bf8 9   10   .rodata ascii   _int_free
161  0x00091c08 0x00491c08 9   10   .rodata ascii   sysmalloc
162  0x00091c18 0x00491c18 10  11   .rodata ascii   tcache_get
163  0x00091c28 0x00491c28 10  11   .rodata ascii   tcache_put
164  0x00091c38 0x00491c38 11  12   .rodata ascii   _int_malloc
165  0x00091c48 0x00491c48 13  14   .rodata ascii   _int_memalign
166  0x00091c80 0x00491c80 21  22   .rodata ascii   remove_from_free_list
167  0x00091ca0 0x00491ca0 29  30   .rodata ascii   __malloc_arena_thread_freeres
168  0x00092d10 0x00492d10 50  51   .rodata ascii   @@@@@@@@@@@@@@@@[[[[[[[[[[[[[[[[                @8
169  0x00092e00 0x00492e00 17  18   .rodata ascii   ZZZZZZZZZZZZZZZZ 
170  0x00092f57 0x00492f57 7   8    .rodata ascii   \a\b\t\n\v\f\r
171  0x00092f6f 0x00492f6f 26  27   .rodata ascii   ../sysdeps/x86/cacheinfo.c
172  0x00092f8a 0x00492f8a 17  18   .rodata ascii   ! "cannot happen"
173  0x00092f9c 0x00492f9c 11  12   .rodata ascii   offset == 2
174  0x000930c8 0x004930c8 4   5    .rodata ascii   #\b@\t
175  0x000930d0 0x004930d0 4   5    .rodata ascii   %\b@\t
176  0x000930d8 0x004930d8 4   5    .rodata ascii   )\b@\t
177  0x00093158 0x00493158 4   5    .rodata ascii   G\b@\t
178  0x00093170 0x00493170 4   5    .rodata ascii   J\f@\t
179  0x00093180 0x00493180 4   5    .rodata ascii   L\f@\t
180  0x000932a0 0x004932a0 10  11   .rodata ascii   handle_amd
181  0x000932b0 0x004932b0 16  17   .rodata ascii   intel_check_word
182  0x000932c1 0x004932c1 24  25   .rodata ascii   ANSI_X3.4-1968//TRANSLIT
183  0x000932da 0x004932da 13  14   .rodata ascii   mbsrtowcs_l.c
184  0x000932e8 0x004932e8 10  11   .rodata ascii   result > 0
185  0x000932f3 0x004932f3 25  26   .rodata ascii   __mbsinit (data.__statep)
186  0x00093310 0x00493310 40  41   .rodata ascii   ((wchar_t *) data.__outbuf)[-1] == L'\0'
187  0x00093340 0x00493340 159 160  .rodata ascii   status == __GCONV_OK || status == __GCONV_EMPTY_INPUT || status == __GCONV_ILLEGAL_INPUT || status == __GCONV_INCOMPLETE_INPUT || status == __GCONV_FULL_OUTPUT
188  0x000933e0 0x004933e0 13  14   .rodata ascii   __mbsrtowcs_l
189  0x000933ee 0x004933ee 16  17   .rodata ascii   /usr/lib/getconf
190  0x000933ff 0x004933ff 11  12   .rodata ascii   GETCONF_DIR
191  0x0009340b 0x0049340b 28  29   .rodata ascii   /proc/sys/kernel/ngroups_max
192  0x00093428 0x00493428 11  12   .rodata ascii   ILP32_OFF32
193  0x00093434 0x00493434 12  13   .rodata ascii   ILP32_OFFBIG
194  0x00093441 0x00493441 26  27   .rodata ascii   /proc/sys/kernel/rtsig-max
195  0x00093838 0x00493838 35  36   .rodata ascii   ../sysdeps/unix/sysv/linux/getcwd.c
196  0x00093860 0x00493860 43  44   .rodata ascii   errno != ERANGE || buf != NULL || size != 0
197  0x00093890 0x00493890 8   9    .rodata ascii   __getcwd
198  0x000938a0 0x004938a0 40  41   .rodata ascii   ../sysdeps/unix/sysv/linux/getpagesize.c
199  0x000938d0 0x004938d0 13  14   .rodata ascii   __getpagesize
200  0x000938de 0x004938de 22  23   .rodata ascii   GLRO(dl_pagesize) != 0
201  0x00093910 0x00493910 40  41   .rodata ascii   ../sysdeps/unix/sysv/linux/getsysstats.c
202  0x00093940 0x00493940 30  31   .rodata ascii   /sys/devices/system/cpu/online
203  0x00093960 0x00493960 9   10   .rodata ascii   next_line
204  0x0009396a 0x0049396a 10  11   .rodata ascii   *cp <= *re
205  0x00093975 0x00493975 10  11   .rodata ascii   /proc/stat
206  0x00093980 0x00493980 13  14   .rodata ascii   /proc/cpuinfo
207  0x0009398e 0x0049398e 9   10   .rodata ascii   processor
208  0x00093998 0x00493998 23  24   .rodata ascii   /sys/devices/system/cpu
209  0x000939b0 0x004939b0 24  25   .rodata ascii   buffer overflow detected
210  0x000939c9 0x004939c9 23  24   .rodata ascii   stack smashing detected
211  0x000939e1 0x004939e1 9   10   .rodata ascii   <unknown>
212  0x000939eb 0x004939eb 26  27   .rodata ascii   *** %s ***: %s terminated\n
213  0x00093a06 0x00493a06 14  15   .rodata ascii   GLIBC_TUNABLES
214  0x00093a15 0x00493a15 15  16   .rodata ascii   /etc/suid-debug
215  0x00093a25 0x00493a25 27  28   .rodata ascii   glibc.malloc.trim_threshold
216  0x00093a41 0x00493a41 22  23   .rodata ascii   MALLOC_TRIM_THRESHOLD_
217  0x00093a58 0x00493a58 20  21   .rodata ascii   glibc.malloc.perturb
218  0x00093a6d 0x00493a6d 15  16   .rodata ascii   MALLOC_PERTURB_
219  0x00093a7d 0x00493a7d 19  20   .rodata ascii   glibc.elision.tries
220  0x00093a91 0x00493a91 20  21   .rodata ascii   glibc.elision.enable
221  0x00093aa6 0x00493aa6 28  29   .rodata ascii   glibc.elision.skip_lock_busy
222  0x00093ac3 0x00493ac3 20  21   .rodata ascii   glibc.malloc.top_pad
223  0x00093ad8 0x00493ad8 15  16   .rodata ascii   MALLOC_TOP_PAD_
224  0x00093ae8 0x00493ae8 19  20   .rodata ascii   glibc.cpu.x86_shstk
225  0x00093afc 0x00493afc 20  21   .rodata ascii   glibc.cpu.hwcap_mask
226  0x00093b11 0x00493b11 13  14   .rodata ascii   LD_HWCAP_MASK
227  0x00093b1f 0x00493b1f 21  22   .rodata ascii   glibc.malloc.mmap_max
228  0x00093b35 0x00493b35 16  17   .rodata ascii   MALLOC_MMAP_MAX_
229  0x00093b46 0x00493b46 17  18   .rodata ascii   glibc.cpu.x86_ibt
230  0x00093b58 0x00493b58 16  17   .rodata ascii   glibc.cpu.hwcaps
231  0x00093b69 0x00493b69 22  23   .rodata ascii   glibc.malloc.arena_max
232  0x00093b80 0x00493b80 16  17   .rodata ascii   MALLOC_ARENA_MAX
233  0x00093b91 0x00493b91 27  28   .rodata ascii   glibc.malloc.mmap_threshold
234  0x00093bad 0x00493bad 22  23   .rodata ascii   MALLOC_MMAP_THRESHOLD_
235  0x00093bc4 0x00493bc4 29  30   .rodata ascii   glibc.cpu.x86_data_cache_size
236  0x00093be2 0x00493be2 25  26   .rodata ascii   glibc.malloc.tcache_count
237  0x00093bfc 0x00493bfc 23  24   .rodata ascii   glibc.malloc.arena_test
238  0x00093c14 0x00493c14 17  18   .rodata ascii   MALLOC_ARENA_TEST
239  0x00093c26 0x00493c26 23  24   .rodata ascii   glibc.malloc.tcache_max
240  0x00093c3e 0x00493c3e 18  19   .rodata ascii   glibc.malloc.check
241  0x00093c51 0x00493c51 13  14   .rodata ascii   MALLOC_CHECK_
242  0x00093c60 0x00493c60 37  38   .rodata ascii   glibc.elision.skip_lock_after_retries
243  0x00093c88 0x00493c88 31  32   .rodata ascii   glibc.cpu.x86_shared_cache_size
244  0x00093ca8 0x00493ca8 36  37   .rodata ascii   glibc.cpu.x86_non_temporal_threshold
245  0x00093cd0 0x00493cd0 41  42   .rodata ascii   glibc.elision.skip_trylock_internal_abort
246  0x00093d00 0x00493d00 34  35   .rodata ascii   glibc.malloc.tcache_unsorted_limit
247  0x00093d28 0x00493d28 38  39   .rodata ascii   glibc.elision.skip_lock_internal_abort
248  0x00093d50 0x00493d50 30  31   .rodata ascii   glibc.pthread.mutex_spin_count
249  0x00093dfc 0x00493dfc 8   9    .rodata ascii   /var/tmp
250  0x00093e05 0x00493e05 12  13   .rodata ascii   /var/profile
251  0x00093e20 0x00493e20 10  11   .rodata ascii   GCONV_PATH
252  0x00093e2b 0x00493e2b 11  12   .rodata ascii   GETCONF_DIR
253  0x00093e37 0x00493e37 11  12   .rodata ascii   HOSTALIASES
254  0x00093e43 0x00493e43 8   9    .rodata ascii   LD_AUDIT
255  0x00093e4c 0x00493e4c 8   9    .rodata ascii   LD_DEBUG
256  0x00093e55 0x00493e55 15  16   .rodata ascii   LD_DEBUG_OUTPUT
257  0x00093e65 0x00493e65 15  16   .rodata ascii   LD_DYNAMIC_WEAK
258  0x00093e75 0x00493e75 13  14   .rodata ascii   LD_HWCAP_MASK
259  0x00093e83 0x00493e83 15  16   .rodata ascii   LD_LIBRARY_PATH
260  0x00093e93 0x00493e93 14  15   .rodata ascii   LD_ORIGIN_PATH
261  0x00093ea2 0x00493ea2 10  11   .rodata ascii   LD_PRELOAD
262  0x00093ead 0x00493ead 10  11   .rodata ascii   LD_PROFILE
263  0x00093eb8 0x00493eb8 12  13   .rodata ascii   LD_SHOW_AUXV
264  0x00093ec5 0x00493ec5 16  17   .rodata ascii   LD_USE_LOAD_BIAS
265  0x00093ed6 0x00493ed6 11  12   .rodata ascii   LOCALDOMAIN
266  0x00093ee2 0x00493ee2 7   8    .rodata ascii   LOCPATH
267  0x00093eea 0x00493eea 12  13   .rodata ascii   MALLOC_TRACE
268  0x00093ef7 0x00493ef7 8   9    .rodata ascii   NIS_PATH
269  0x00093f00 0x00493f00 7   8    .rodata ascii   NLSPATH
270  0x00093f08 0x00493f08 16  17   .rodata ascii   RESOLV_HOST_CONF
271  0x00093f19 0x00493f19 11  12   .rodata ascii   RES_OPTIONS
272  0x00093f25 0x00493f25 6   7    .rodata ascii   TMPDIR
273  0x00093f2c 0x00493f2c 5   6    .rodata ascii   TZDIR
274  0x00093f32 0x00493f32 24  25   .rodata ascii   LD_PREFER_MAP_32BIT_EXEC
275  0x00093f60 0x00493f60 4   5    .rodata ascii   i586
276  0x00093f69 0x00493f69 4   5    .rodata ascii   i686
277  0x00093f72 0x00493f72 7   8    .rodata ascii   haswell
278  0x00093f7b 0x00493f7b 8   9    .rodata ascii   xeon_phi
279  0x00093f90 0x00493f90 4   5    .rodata ascii   sse2
280  0x00093f99 0x00493f99 6   7    .rodata ascii   x86_64
281  0x00093fa2 0x00493fa2 8   9    .rodata ascii   avx512_1
282  0x00093fab 0x00493fab 7   8    .rodata ascii   LD_WARN
283  0x00093fb3 0x00493fb3 12  13   .rodata ascii   setup-vdso.h
284  0x00093fc0 0x00493fc0 20  21   .rodata ascii   ph->p_type != PT_TLS
285  0x00093fd5 0x00493fd5 18  19   .rodata ascii   get-dynamic-info.h
286  0x00093fe8 0x00493fe8 14  15   .rodata ascii   out of memory\n
287  0x00093ff7 0x00493ff7 15  16   .rodata ascii   LD_LIBRARY_PATH
288  0x00094007 0x00494007 11  12   .rodata ascii   LD_BIND_NOW
289  0x00094013 0x00494013 11  12   .rodata ascii   LD_BIND_NOT
290  0x0009401f 0x0049401f 15  16   .rodata ascii   LD_DYNAMIC_WEAK
291  0x0009402f 0x0049402f 17  18   .rodata ascii   LD_PROFILE_OUTPUT
292  0x00094041 0x00494041 16  17   .rodata ascii   LD_ASSUME_KERNEL
293  0x00094058 0x00494058 38  39   .rodata ascii   info[DT_PLTREL]->d_un.d_val == DT_RELA
294  0x00094080 0x00494080 51  52   .rodata ascii   info[DT_RELAENT]->d_un.d_val == sizeof (ElfW(Rela))
295  0x000940b8 0x004940b8 59  60   .rodata ascii   \nWARNING: Unsupported flag value(s) of 0x%x in DT_FLAGS_1.\n
296  0x000940f8 0x004940f8 10  11   .rodata ascii   setup_vdso
297  0x00094110 0x00494110 20  21   .rodata ascii   elf_get_dynamic_info
298  0x0009413d 0x0049413d 4   5    .rodata ascii   AVX2
299  0x00094142 0x00494142 4   5    .rodata ascii   BMI1
300  0x00094147 0x00494147 4   5    .rodata ascii   BMI2
301  0x0009414c 0x0049414c 4   5    .rodata ascii   CMOV
302  0x00094151 0x00494151 4   5    .rodata ascii   FMA4
303  0x00094156 0x00494156 4   5    .rodata ascii   SSE2
304  0x0009415b 0x0049415b 4   5    .rodata ascii   I586
305  0x00094160 0x00494160 4   5    .rodata ascii   I686
306  0x00094165 0x00494165 5   6    .rodata ascii   LZCNT
307  0x0009416b 0x0049416b 5   6    .rodata ascii   MOVBE
308  0x00094171 0x00494171 5   6    .rodata ascii   SHSTK
309  0x00094177 0x00494177 5   6    .rodata ascii   SSSE3
310  0x0009417d 0x0049417d 6   7    .rodata ascii   POPCNT
311  0x00094184 0x00494184 6   7    .rodata ascii   SSE4_1
312  0x0009418b 0x0049418b 7   8    .rodata ascii   AVX512F
313  0x00094193 0x00494193 7   8    .rodata ascii   OSXSAVE
314  0x0009419b 0x0049419b 8   9    .rodata ascii   AVX512CD
315  0x000941a4 0x004941a4 8   9    .rodata ascii   AVX512BW
316  0x000941ad 0x004941ad 8   9    .rodata ascii   AVX512DQ
317  0x000941b6 0x004941b6 8   9    .rodata ascii   AVX512ER
318  0x000941bf 0x004941bf 8   9    .rodata ascii   AVX512PF
319  0x000941c8 0x004941c8 8   9    .rodata ascii   AVX512VL
320  0x000941d1 0x004941d1 10  11   .rodata ascii   AVX_Usable
321  0x000941dc 0x004941dc 10  11   .rodata ascii   FMA_Usable
322  0x000941e7 0x004941e7 11  12   .rodata ascii   AVX2_Usable
323  0x000941f3 0x004941f3 11  12   .rodata ascii   FMA4_Usable
324  0x000941ff 0x004941ff 11  12   .rodata ascii   Slow_SSE4_2
